ФИО,Факультет,Ученое звание,Ученая степень
Васильева В.В.,ФИиВТ,профессор,без степени
Волков В.В.,ФИиВТ,профессор,кандидат наук
Сидоров С.С.,ФИиВТ,ассистент,кандидат наук
Иванов И.И.,ФИиВТ,профессор,кандидат наук
Михайлов М.М.,ФИиВТ,старший преподаватель,без степени
Сидоров С.С.,ФИиВТ,ассистент,кандидат наук
Смирнова А.А.,ГФ,профессор,доктор наук
Кузнецов К.К.,ИЭиУ,доцент,без степени
Волков В.В.,ЕМФ,профессор,кандидат наук
Михайлов М.М.,ЕМФ,ассистент,кандидат наук
Кузнецов К.К.,ИЭиУ,доцент,доктор наук
Кузнецов К.К.,ИЭиУ,доцент,без степени
Волков В.В.,ЮФ,старший преподаватель,без степени
Волков В.В.,ГФ,профессор,без степени
Васильева В.В.,ГФ,старший преподаватель,доктор наук
Морозов М.М.,ЕМФ,профессор,кандидат наук
Сидоров С.С.,ГФ,ассистент,кандидат наук
Сидоров С.С.,ИЭиУ,доцент,кандидат наук
Смирнова А.А.,ФИиВТ,старший преподаватель,кандидат наук
Иванов И.И.,ГФ,доцент,кандидат наук
Смирнова А.А.,ФИиВТ,профессор,кандидат наук
Волков В.В.,ЮФ,старший преподаватель,без степени
Сидоров С.С.,ЮФ,доцент,доктор наук
Петров П.П.,ЮФ,старший преподаватель,кандидат наук
Васильева В.В.,ФИиВТ,ассистент,без степени
Волков В.В.,ЮФ,профессор,кандидат наук
Морозов М.М.,ГФ,старший преподаватель,доктор наук
Сидоров С.С.,ИЭиУ,профессор,доктор наук
Сидоров С.С.,ЮФ,старший преподаватель,без степени
Иванов И.И.,ЕМФ,доцент,доктор наук
Иванов И.И.,ФИиВТ,ассистент,без степени
Смирнова А.А.,ЮФ,старший преподаватель,доктор наук
Морозов М.М.,ЮФ,старший преподаватель,кандидат наук
Волков В.В.,ФИиВТ,старший преподаватель,без степени
Волков В.В.,ЮФ,ассистент,без степени
Смирнова А.А.,ИЭиУ,доцент,без степени
Волков В.В.,ИЭиУ,ассистент,кандидат наук
Васильева В.В.,ФИиВТ,ассистент,кандидат наук
Смирнова А.А.,ЮФ,старший преподаватель,без степени
Кузнецов К.К.,ИЭиУ,старший преподаватель,кандидат наук
Петров П.П.,ЮФ,ассистент,доктор наук
Кузнецов К.К.,ЕМФ,ассистент,без степени
Волков В.В.,ГФ,старший преподаватель,доктор наук
Волков В.В.,ИЭиУ,ассистент,доктор наук
Федорова Ф.Ф.,ФИиВТ,ассистент,доктор наук
Федорова Ф.Ф.,ФИиВТ,профессор,без степени
Волков В.В.,ЮФ,ассистент,доктор наук
Кузнецов К.К.,ФИиВТ,доцент,доктор наук
Морозов М.М.,ЮФ,ассистент,кандидат наук
Васильева В.В.,ЮФ,доцент,кандидат наук
Морозов М.М.,ФИиВТ,ассистент,без степени
Кузнецов К.К.,ЮФ,доцент,доктор наук
Кузнецов К.К.,ЕМФ,профессор,кандидат наук
Михайлов М.М.,ЮФ,старший преподаватель,доктор наук
Волков В.В.,ФИиВТ,ассистент,кандидат наук
Смирнова А.А.,ГФ,старший преподаватель,доктор наук
Михайлов М.М.,ЮФ,ассистент,кандидат наук
Михайлов М.М.,ИЭиУ,профессор,кандидат наук
Морозов М.М.,ФИиВТ,профессор,доктор наук
Смирнова А.А.,ИЭиУ,старший преподаватель,кандидат наук
Смирнова А.А.,ЕМФ,профессор,доктор наук
Федорова Ф.Ф.,ЮФ,профессор,без степени
Федорова Ф.Ф.,ФИиВТ,профессор,кандидат наук
Сидоров С.С.,ФИиВТ,профессор,кандидат наук
Васильева В.В.,ЕМФ,ассистент,без степени
Михайлов М.М.,ФИиВТ,профессор,кандидат наук
Сидоров С.С.,ЮФ,ассистент,кандидат наук
Волков В.В.,ИЭиУ,старший преподаватель,доктор наук
Михайлов М.М.,ЕМФ,профессор,кандидат наук
Морозов М.М.,ФИиВТ,ассистент,без степени
Смирнова А.А.,ЕМФ,ассистент,без степени
Васильева В.В.,ИЭиУ,профессор,без степени
Кузнецов К.К.,ЮФ,ассистент,без степени
Волков В.В.,ЕМФ,старший преподаватель,без степени
Федорова Ф.Ф.,ИЭиУ,доцент,доктор наук
Волков В.В.,ФИиВТ,ассистент,кандидат наук
Петров П.П.,ЕМФ,профессор,кандидат наук
Петров П.П.,ИЭиУ,доцент,кандидат наук
Михайлов М.М.,ИЭиУ,профессор,доктор наук
Морозов М.М.,ЕМФ,профессор,кандидат наук
Федорова Ф.Ф.,ИЭиУ,ассистент,доктор наук
Кузнецов К.К.,ИЭиУ,ассистент,кандидат наук
Михайлов М.М.,ГФ,ассистент,без степени
Михайлов М.М.,ЕМФ,профессор,без степени
Сидоров С.С.,ФИиВТ,доцент,без степени
Иванов И.И.,ЕМФ,доцент,доктор наук
Смирнова А.А.,ИЭиУ,старший преподаватель,без степени
Морозов М.М.,ЮФ,профессор,без степени
Сидоров С.С.,ГФ,доцент,без степени
Петров П.П.,ГФ,ассистент,кандидат наук
Морозов М.М.,ИЭиУ,профессор,доктор наук
Морозов М.М.,ГФ,ассистент,без степени
Кузнецов К.К.,ЮФ,доцент,без степени
Сидоров С.С.,ГФ,старший преподаватель,без степени
Сидоров С.С.,ФИиВТ,ассистент,кандидат наук
Морозов М.М.,ЕМФ,старший преподаватель,без степени
Волков В.В.,ФИиВТ,ассистент,доктор наук
Михайлов М.М.,ФИиВТ,доцент,кандидат наук
Федорова Ф.Ф.,ГФ,ассистент,без степени
Смирнова А.А.,ИЭиУ,старший преподаватель,доктор наук
Волков В.В.,ЕМФ,доцент,доктор наук
Волков В.В.,ИЭиУ,профессор,без степени
Васильева В.В.,ФИиВТ,старший преподаватель,доктор наук
Иванов И.И.,ФИиВТ,доцент,без степени
Федорова Ф.Ф.,ФИиВТ,доцент,доктор наук
Кузнецов К.К.,ЕМФ,доцент,кандидат наук
Волков В.В.,ЕМФ,ассистент,доктор наук
Смирнова А.А.,ГФ,профессор,без степени
Кузнецов К.К.,ФИиВТ,профессор,кандидат наук
Иванов И.И.,ФИиВТ,ассистент,доктор наук
Морозов М.М.,ЕМФ,ассистент,без степени
Васильева В.В.,ГФ,ассистент,кандидат наук
Волков В.В.,ФИиВТ,старший преподаватель,без степени
Волков В.В.,ИЭиУ,профессор,доктор наук
Смирнова А.А.,ЕМФ,доцент,без степени
Михайлов М.М.,ФИиВТ,профессор,доктор наук
Сидоров С.С.,ФИиВТ,доцент,без степени
Михайлов М.М.,ЮФ,доцент,доктор наук
Иванов И.И.,ЕМФ,ассистент,без степени
Сидоров С.С.,ГФ,профессор,без степени
Морозов М.М.,ГФ,доцент,кандидат наук
Сидоров С.С.,ЕМФ,ассистент,кандидат наук
Смирнова А.А.,ЮФ,ассистент,кандидат наук
Иванов И.И.,ФИиВТ,доцент,кандидат наук
Федорова Ф.Ф.,ЮФ,старший преподаватель,без степени
Петров П.П.,ГФ,профессор,без степени
Кузнецов К.К.,ИЭиУ,старший преподаватель,доктор наук
Федорова Ф.Ф.,ИЭиУ,старший преподаватель,доктор наук
Иванов И.И.,ГФ,ассистент,кандидат наук
Петров П.П.,ГФ,старший преподаватель,кандидат наук
Васильева В.В.,ГФ,старший преподаватель,доктор наук
Смирнова А.А.,ЕМФ,профессор,без степени
Иванов И.И.,ФИиВТ,ассистент,без степени
Федорова Ф.Ф.,ЮФ,профессор,без степени
