ФИО,Факультет,Ученое звание,Ученая степень
Кузнецов К.К.,ЮФ,доцент,кандидат наук
Федорова Ф.Ф.,ФИиВТ,ассистент,доктор наук
Сидоров С.С.,ЕМФ,старший преподаватель,без степени
Смирнова А.А.,ЕМФ,старший преподаватель,доктор наук
Федорова Ф.Ф.,ЮФ,старший преподаватель,кандидат наук
Сидоров С.С.,ЕМФ,профессор,кандидат наук
Васильева В.В.,ЮФ,старший преподаватель,без степени
Михайлов М.М.,ЕМФ,профессор,без степени
Кузнецов К.К.,ГФ,старший преподаватель,доктор наук
Волков В.В.,ГФ,доцент,доктор наук
Петров П.П.,ГФ,старший преподаватель,доктор наук
Волков В.В.,ИЭиУ,старший преподаватель,без степени
Кузнецов К.К.,ГФ,профессор,без степени
Васильева В.В.,ФИиВТ,профессор,доктор наук
Кузнецов К.К.,ФИиВТ,доцент,без степени
Васильева В.В.,ФИиВТ,ассистент,доктор наук
Иванов И.И.,ИЭиУ,доцент,без степени
Морозов М.М.,ЮФ,профессор,без степени
Михайлов М.М.,ЮФ,доцент,без степени
Морозов М.М.,ЮФ,ассистент,кандидат наук
Смирнова А.А.,ГФ,профессор,доктор наук
Васильева В.В.,ЕМФ,ассистент,без степени
Васильева В.В.,ЕМФ,старший преподаватель,без степени
Морозов М.М.,ЮФ,старший преподаватель,без степени
Морозов М.М.,ИЭиУ,доцент,без степени
Смирнова А.А.,ЮФ,ассистент,кандидат наук
Михайлов М.М.,ЕМФ,доцент,без степени
Смирнова А.А.,ФИиВТ,профессор,доктор наук
Михайлов М.М.,ФИиВТ,доцент,без степени
Петров П.П.,ИЭиУ,ассистент,кандидат наук
Иванов И.И.,ФИиВТ,ассистент,доктор наук
Кузнецов К.К.,ЕМФ,профессор,кандидат наук
Иванов И.И.,ФИиВТ,старший преподаватель,кандидат наук
Михайлов М.М.,ЕМФ,ассистент,доктор наук
Федорова Ф.Ф.,ИЭиУ,доцент,без степени
Морозов М.М.,ЮФ,старший преподаватель,доктор наук
Волков В.В.,ЕМФ,профессор,доктор наук
Смирнова А.А.,ГФ,старший преподаватель,кандидат наук
Федорова Ф.Ф.,ИЭиУ,доцент,доктор наук
Васильева В.В.,ГФ,профессор,без степени
Иванов И.И.,ГФ,профессор,без степени
Смирнова А.А.,ЮФ,ассистент,кандидат наук
Смирнова А.А.,ФИиВТ,ассистент,без степени
Васильева В.В.,ИЭиУ,ассистент,доктор наук
Петров П.П.,ЮФ,ассистент,доктор наук
Васильева В.В.,ФИиВТ,старший преподаватель,без степени
Волков В.В.,ЮФ,доцент,кандидат наук
Иванов И.И.,ЮФ,ассистент,без степени
Федорова Ф.Ф.,ГФ,профессор,без степени
Волков В.В.,ЮФ,доцент,кандидат наук
Волков В.В.,ЮФ,ассистент,без степени
Смирнова А.А.,ИЭиУ,ассистент,кандидат наук
Кузнецов К.К.,ЕМФ,ассистент,без степени
Васильева В.В.,ФИиВТ,старший преподаватель,доктор наук
Михайлов М.М.,ГФ,ассистент,кандидат наук
Михайлов М.М.,ФИиВТ,профессор,без степени
Васильева В.В.,ЮФ,ассистент,доктор наук
Волков В.В.,ГФ,профессор,без степени
Морозов М.М.,ИЭиУ,доцент,кандидат наук
Волков В.В.,ИЭиУ,старший преподаватель,без степени
Сидоров С.С.,ЮФ,доцент,кандидат наук
Федорова Ф.Ф.,ЕМФ,старший преподаватель,кандидат наук
Кузнецов К.К.,ЮФ,профессор,без степени
Петров П.П.,ИЭиУ,профессор,кандидат наук
Петров П.П.,ЕМФ,доцент,без степени
Морозов М.М.,ЮФ,доцент,без степени
Петров П.П.,ЕМФ,доцент,без степени
Петров П.П.,ГФ,доцент,без степени
Петров П.П.,ЕМФ,ассистент,без степени
Кузнецов К.К.,ЕМФ,старший преподаватель,кандидат наук
Смирнова А.А.,ГФ,профессор,кандидат наук
Федорова Ф.Ф.,ИЭиУ,доцент,без степени
Федорова Ф.Ф.,ЕМФ,профессор,доктор наук
Кузнецов К.К.,ЕМФ,старший преподаватель,доктор наук
Михайлов М.М.,ЮФ,ассистент,без степени
Волков В.В.,ИЭиУ,ассистент,доктор наук
Михайлов М.М.,ЕМФ,профессор,доктор наук
Сидоров С.С.,ЮФ,доцент,кандидат наук
Иванов И.И.,ФИиВТ,старший преподаватель,кандидат наук
Кузнецов К.К.,ФИиВТ,старший преподаватель,доктор наук
Смирнова А.А.,ФИиВТ,профессор,доктор наук
Сидоров С.С.,ГФ,профессор,кандидат наук
Петров П.П.,ЕМФ,ассистент,кандидат наук
Васильева В.В.,ЕМФ,доцент,кандидат наук
Смирнова А.А.,ЕМФ,ассистент,доктор наук
Смирнова А.А.,ИЭиУ,доцент,доктор наук
Петров П.П.,ИЭиУ,старший преподаватель,без степени
Васильева В.В.,ЕМФ,ассистент,без степени
Морозов М.М.,ГФ,старший преподаватель,без степени
Иванов И.И.,ФИиВТ,ассистент,кандидат наук
Морозов М.М.,ИЭиУ,доцент,кандидат наук
Смирнова А.А.,ЮФ,профессор,кандидат наук
Кузнецов К.К.,ФИиВТ,ассистент,без степени
Смирнова А.А.,ГФ,старший преподаватель,без степени
Васильева В.В.,ГФ,старший преподаватель,без степени
Волков В.В.,ЕМФ,старший преподаватель,без степени
Михайлов М.М.,ЮФ,профессор,доктор наук
Васильева В.В.,ЮФ,профессор,кандидат наук
Михайлов М.М.,ЕМФ,ассистент,без степени
Смирнова А.А.,ЕМФ,доцент,доктор наук
